Atoms=58 Dispersions=58 Bonds=96 BondAngles=230 Propers=63
Dispersion=LennardJones Bond=HarmonicPotential BondAngle=HarmonicPotential Proper=Periodic Improper=Periodic UB=HarmonicPotential Dispersion2=LennardJones

This file contains the amber99sb-ildn force field

Atoms
atom_type	atom_group	name	charge	element	mass	nbonds
1	1	Br	Br	0.00	Br	79.90	0
2	2	C	C	0.00	C	12.01	4
3	3	CA	CA	0.00	C	12.01	4
4	4	CB	CB	0.00	C	12.01	4
5	5	CC	CC	0.00	C	12.01	4
6	6	CK	CK	0.00	C	12.01	4
7	7	CM	CM	0.00	C	12.01	4
8	8	CN	CN	0.00	C	12.01	4
9	9	CQ	CQ	0.00	C	12.01	4
10	10	CR	CR	0.00	C	12.01	4
11	11	CT	CT	0.00	C	12.01	4
12	12	CV	CV	0.00	C	12.01	4
13	13	CW	CW	0.00	C	12.01	4
14	14	C*	C*	0.00	C	12.01	4
15	15	C0	C0	0.00	Ca	40.08	0
16	16	F	F	0.00	F	19.00	0
17	17	H	H	0.00	H	1.01	1
18	18	HC	HC	0.00	H	1.01	1
19	19	H1	H1	0.00	H	1.01	1
20	20	H2	H2	0.00	H	1.01	1
21	21	H3	H3	0.00	H	1.01	1
22	22	HA	HA	0.00	H	1.01	1
23	23	H4	H4	0.00	H	1.01	1
24	24	H5	H5	0.00	H	1.01	1
25	25	HO	HO	0.00	H	1.01	1
26	26	HS	HS	0.00	H	1.01	1
27	27	HW	HW	0.00	H	1.01	1
28	28	HP	HP	0.00	H	1.01	1
29	29	I	I	0.00	I	126.90	0
30	30	Cl	Cl	0.00	Cl	35.45	0
31	31	Na	Na	0.00	Na	22.99	0
32	32	IB	IB	0.00	IB	131.00	0
33	33	MG	MG	0.00	MG	24.31	0
34	34	N	N	0.00	N	14.01	3
35	35	NA	NA	0.00	N	14.01	3
36	36	NB	NB	0.00	N	14.01	3
37	37	NC	NC	0.00	N	14.01	3
38	38	N2	N2	0.00	N	14.01	3
39	39	N3	N3	0.00	N	14.01	3
40	40	N*	N*	0.00	N	14.01	3
41	41	O	O	0.00	O	16.00	2
42	42	OW	OW	0.00	O	16.00	2
43	43	OH	OH	0.00	O	16.00	2
44	44	OS	OS	0.00	O	16.00	2
45	45	O2	O2	0.00	O	16.00	2
46	46	P	P	0.00	P	30.97	6
47	47	S	S	0.00	S	32.06	6
48	48	SH	SH	0.00	S	32.06	6
49	49	CU	CU	0.00	Cu	63.55	0
50	50	FE	FE	0.00	Fe	55.00	0
51	51	K	K	0.00	K	39.10	0
52	52	Rb	Rb	0.00	Rb	85.47	0
53	53	Cs	Cs	0.00	Cs	132.90	0
54	54	Li	Li	0.00	Li	6.94	0
55	55	Zn	Zn	0.00	Zn	65.40	0
56	56	MW	MW	0.00	dum	0.00	1
57	57	MCH3	MCH3	0.00	dum	0.00	1
58	58	MNH3	MNH3	0.00	dum	0.00	1

Dispersions
atom_type	sigma	epsilon
1	3.95559	1.33888
2	3.39967	0.35982
3	3.39967	0.35982
4	3.39967	0.35982
5	3.39967	0.35982
6	3.39967	0.35982
7	3.39967	0.35982
8	3.39967	0.35982
9	3.39967	0.35982
10	3.39967	0.35982
11	3.39967	0.45773
12	3.39967	0.35982
13	3.39967	0.35982
14	3.39967	0.35982
15	3.05240	1.92376
16	3.11815	0.25522
17	1.06908	0.06569
18	2.64953	0.06569
19	2.47135	0.06569
20	2.29317	0.06569
21	2.11499	0.06569
22	2.59964	0.06276
23	2.51055	0.06276
24	2.42146	0.06276
25	0.00000	0.00000
26	1.06908	0.06569
27	0.00000	0.00000
28	1.95998	0.06569
29	4.18722	1.67360
30	4.40104	0.41840
31	3.32840	0.01159
32	8.90899	0.41840
33	1.41225	3.74342
34	3.25000	0.71128
35	3.25000	0.71128
36	3.25000	0.71128
37	3.25000	0.71128
38	3.25000	0.71128
39	3.25000	0.71128
40	3.25000	0.71128
41	2.95992	0.87864
42	3.15061	0.63639
43	3.06647	0.88031
44	3.00001	0.71128
45	2.95992	0.87864
46	3.74177	0.83680
47	3.56359	1.04600
48	3.56359	1.04600
49	3.39967	0.35982
51	4.73602	0.00137
52	5.26699	0.00071
53	6.04920	0.00034
54	2.02590	0.07657
55	1.95998	0.05230
56	0.00000	0.00000
57	0.00000	0.00000
58	0.00000	0.00000

Bonds
atom_group1	atom_group2	potential_strength	equilibrium_state
2	2	259408	 1.525
2	44	376560	 1.323
2	23	307105.6 1.08
2	24	307105.6 1.08
3	43	376560	 1.364
7	44	401664	 1.24
30	11	194137.6 1.766
1	11	133051.2 1.944
29	11	123846.4 2.166
16	3	323004.8 1.359
30	3	161502.4 1.727
29	3	143092.8 2.075
1	3	143929.6 1.89
42	27	462750.4 0.9572
27	27	462750.4 1.5136
2	3	392459.2 1.409
2	4	374049.6 1.419
2	7	343088   1.444
2	11	265265.6 1.522
2	40	354803.2 1.383
2	35	349782.4 1.388
2	37	382417.6 1.358
2	41	476976   1.229
2	45	548940.8 1.25
2	43	376560   1.364
3	3	392459.2 1.4
3	4	392459.2 1.404
3	7	357313.6 1.433
3	11	265265.6 1.51
3	22	307105.6 1.08
3	23	307105.6 1.08
3	38	402500.8 1.34
3	35	357313.6 1.381
3	37	404174.4 1.339
4	4	435136   1.37
4	40	364844.8 1.374
4	36	346435.2 1.391
4	37	385764.8 1.354
6	24	307105.6 1.08
6	40	368192   1.371
6	36	442667.2 1.304
7	7	459403.2 1.35
7	11	265265.6 1.51
7	22	307105.6 1.08
7	23	307105.6 1.08
7	24	307105.6 1.08
7	40	374886.4 1.365
9	24	307105.6 1.08
9	37	420073.6 1.324
11	11	259408   1.526
11	18	284512   1.09
11	19	284512   1.09
11	20	284512   1.09
11	21	284512   1.09
11	28	284512   1.09
11	40	282001.6 1.475
11	38	282001.6 1.463
11	43	267776   1.41
11	44	267776   1.41
17	38	363171.2 1.01
