Atoms=446 Dispersions=447 Bonds=1262 BondAngles=4015 Propers=10268 Impropers=189 UB=4015 Dispersion2=38106 
Dispersion=LennardJones Bond=HarmonicPotential BondAngle=HarmonicPotential Proper=Periodic Improper=Periodic UB=HarmonicPotential Dispersion2=LennardJones

This file contains the charmm36 force field

Atoms
atom_type	atom_group	name	charge	element	mass	nbonds
1	1	    AG	          AG     0.00	Ag	107.868	1
2	2	    AL	          AL     0.00	Al	26.982	3
3	3	  ALG1	        ALG1     0.00	Al	26.982	3
4	4	  ALSI	        ALSI     0.00	Al	26.982	3
5	5	    AU	          AU     0.00	Au	196.967	1
6	6	   BAR	         BAR     0.00	Ba	137.327	2
7	7	 BRGA1	       BRGA1     0.00	Br	79.904	1
8	8	 BRGA2	       BRGA2     0.00	Br	79.904	1
9	9	 BRGA3	       BRGA3     0.00	Br	79.904	1
10	10	 BRGR1	       BRGR1     0.00	Br	79.904	1
11	11	     C	           C     0.00	C	12.011	4
12	12	    C3	          C3     0.00	C	12.011	4
13	13	    CA	          CA     0.00	C	12.011	4
14	14	   CAD	         CAD     0.00	Cd	112.411	2
15	15	   CAI	         CAI     0.00	C	12.011	4
16	16	   CAL	         CAL     0.00	Ca	40.080	0
17	17	    CC	          CC     0.00	C	12.011	4
18	18	  CC1A	        CC1A     0.00	C	12.011	4
19	19	  CC1B	        CC1B     0.00	C	12.011	4
20	20	   CC2	         CC2     0.00	C	12.011	4
21	21	 CC2O1	       CC2O1     0.00	C	12.011	4
22	22	 CC2O2	       CC2O2     0.00	C	12.011	4
23	23	 CC2O3	       CC2O3     0.00	C	12.011	4
24	24	 CC2O4	       CC2O4     0.00	C	12.011	4
25	25	 CC2O5	       CC2O5     0.00	C	12.011	4
26	26	 CC301	       CC301     0.00	C	12.011	4
27	27	CC3051	      CC3051     0.00	C	12.011	4
28	28	CC3062	      CC3062     0.00	C	12.011	4
29	29	 CC30A	       CC30A     0.00	C	12.011	4
30	30	 CC311	       CC311     0.00	C	12.011	4
31	31	CC311C	      CC311C     0.00	C	12.011	4
32	32	CC311D	      CC311D     0.00	C	12.011	4
33	33	 CC312	       CC312     0.00	C	12.011	4
34	34	CC312C	      CC312C     0.00	C	12.011	4
35	35	CC312D	      CC312D     0.00	C	12.011	4
36	36	CC3151	      CC3151     0.00	C	12.011	4
37	37	CC3152	      CC3152     0.00	C	12.011	4
38	38	CC3153	      CC3153     0.00	C	12.011	4
39	39	CC3161	      CC3161     0.00	C	12.011	4
40	40	CC3162	      CC3162     0.00	C	12.011	4
41	41	CC3163	      CC3163     0.00	C	12.011	4
42	42	 CC31A	       CC31A     0.00	C	12.011	4
43	43	 CC321	       CC321     0.00	C	12.011	4
44	44	CC321C	      CC321C     0.00	C	12.011	4
45	45	CC321D	      CC321D     0.00	C	12.011	4
46	46	 CC322	       CC322     0.00	C	12.011	4
47	47	CC322C	      CC322C     0.00	C	12.011	4
48	48	CC3251	      CC3251     0.00	C	12.011	4
49	49	CC325A	      CC325A     0.00	C	12.011	4
50	50	CC325B	      CC325B     0.00	C	12.011	4
51	51	CC3261	      CC3261     0.00	C	12.011	4
52	52	CC3263	      CC3263     0.00	C	12.011	4
53	53	CC326A	      CC326A     0.00	C	12.011	4
54	54	 CC32A	       CC32A     0.00	C	12.011	4
55	55	 CC331	       CC331     0.00	C	12.011	4
56	56	 CC33A	       CC33A     0.00	C	12.011	4
57	57	   CCL	         CCL     0.00	C	12.011	4
58	58	    CD	          CD     0.00	C	12.011	4
59	59	   CE1	         CE1     0.00	C	12.011	4
60	60	   CE2	         CE2     0.00	C	12.011	4
61	61	  CEL1	        CEL1     0.00	C	12.011	4
62	62	  CEL2	        CEL2     0.00	C	12.011	4
63	63	  CEL3	        CEL3     0.00	C	12.011	4
64	64	   CES	         CES     0.00	Cs	132.905	0
65	65	 CG1N1	       CG1N1     0.00	C	12.011	4
66	66	 CG1T1	       CG1T1     0.00	C	12.011	4
67	67	 CG1T2	       CG1T2     0.00	C	12.011	4
68	68	CG251O	      CG251O     0.00	C	12.011	4
69	69	CG252O	      CG252O     0.00	C	12.011	4
70	70	CG25C1	      CG25C1     0.00	C	12.011	4
71	71	CG25C2	      CG25C2     0.00	C	12.011	4
72	72	 CG2D1	       CG2D1     0.00	C	12.011	4
73	73	CG2D1O	      CG2D1O     0.00	C	12.011	4
74	74	 CG2D2	       CG2D2     0.00	C	12.011	4
