Atoms=906 Dispersions=906 Bonds=379 BondAngles=1019 Propers=800 Impropers=5
Dispersion=LennardJones Bond=HarmonicPotential BondAngle=HarmonicPotential Proper=Periodic Improper=Periodic

This file contains the oplsaa force field. It was created on 2019-10-28.

Atoms
atom_type	atom_group	name	charge	element	mass	nbonds
1	1	Fluoride -CH2-F (UA)	-0.2200	F	18.998	1
2	2	Fluoride -CH2-F (UA)	0.2200	C	14.027	2
3	3	Acetic Acid -COOH (UA)	0.5500	C	12.011	3
4	4	Acetic Acid >C=O (UA)	-0.5000	O	15.999	1
5	5	Acetic Acid -OH (UA)	-0.5800	O	15.999	2
6	6	Acetic Acid CH3- (UA)	0.0800	C	15.035	1
7	7	Acetic Acid -OH (UA)	0.4500	H	1.008	1
8	8	Methane CH4 (UA)	0.0000	C	16.043	0
9	6	Ethane CH3- (UA)	0.0000	C	15.035	1
10	6	N-Alkane CH3- (UA)	0.0000	C	15.035	1
11	6	Isobutane CH3- (UA)	0.0000	C	15.035	1
12	6	Neopentane CH3- (UA)	0.0000	C	15.035	1
13	2	Alkanes -CH2- (UA)	0.0000	C	14.027	2
14	9	1-Alkene CH2= (UA)	0.0000	C	14.027	1
15	10	Isobutane CH (UA)	0.0000	C	13.019	3
16	11	2-Alkene -CH= (UA)	0.0000	C	13.019	2
17	12	Aromatic CH (UA)	0.0000	C	13.019	2
18	13	Neopentane C (UA)	0.0000	C	12.011	4
19	14	Isobutene >C= (UA)	0.0000	C	12.011	3
20	5	Alcohol OH (UA)	-0.7000	O	15.999	2
21	7	Alcohol OH (UA)	0.4350	H	1.008	1
22	6	Methanol CH3- (UA)	0.2650	C	15.035	1
23	2	Ethanol -CH2OH (UA)	0.2650	C	14.027	2
24	15	Hydrogen Sulfide H2S	-0.4700	S	32.060	2
25	15	Alkyl Sulfide RSH (UA)	-0.4500	S	32.060	2
26	16	Thioether RSR (UA)	-0.4700	S	32.060	2
27	16	Disulfide RSSR (UA)	-0.3000	S	32.060	2
28	17	Hydrogen Sulfide H2S	0.2350	H	1.008	1
29	17	Alkyl Sulfide RSH (UA)	0.2700	H	1.008	1
30	6	Methyl Sulfide CH3 (UA)	0.1800	C	15.035	1
31	2	Alkyl Sulfide CH2 (UA)	0.1800	C	14.027	2
32	6	Thioether CH3 (UA)	0.2350	C	15.035	1
