#    title "G(r)"
#    xaxis  label "Distance (nm)"
#    yaxis  label "Probability"
  0.100000  0.000325
  0.300000  0.002639
  0.500000  0.006786
  0.700000  0.012384
  0.900000  0.018538
  1.100000  0.025972
  1.300000  0.032933
  1.500000  0.040298
  1.700000  0.046942
  1.900000  0.053102
  2.100000  0.058408
  2.300000  0.062638
  2.500000  0.065806
  2.700000  0.067597
  2.900000  0.068018
  3.100000  0.066987
  3.300000  0.064498
  3.500000  0.060479
  3.700000  0.055062
  3.900000  0.048230
  4.100000  0.040123
  4.300000  0.031639
  4.500000  0.023743
  4.700000  0.017076
  4.900000  0.011753
  5.100000  0.007725
  5.300000  0.004782
  5.500000  0.002774
  5.700000  0.001479
  5.900000  0.000722
  6.100000  0.000330
  6.300000  0.000137
  6.500000  0.000051
  6.700000  0.000017
  6.900000  0.000005
  7.100000  0.000001
  7.300000  0.000000
