#    title "G(r)"
#    xaxis  label "Distance (nm)"
#    yaxis  label "Probability"
  0.100000  0.000877
  0.300000  0.005202
  0.500000  0.013710
  0.700000  0.023937
  0.900000  0.035535
  1.100000  0.047442
  1.300000  0.058686
  1.500000  0.068845
  1.700000  0.077100
  1.900000  0.083144
  2.100000  0.086463
  2.300000  0.087014
  2.500000  0.084442
  2.700000  0.078958
  2.900000  0.070299
  3.100000  0.058706
  3.300000  0.044606
  3.500000  0.030812
  3.700000  0.019983
  3.900000  0.012098
  4.100000  0.006678
  4.300000  0.003300
  4.500000  0.001407
  4.700000  0.000528
  4.900000  0.000170
  5.100000  0.000047
  5.300000  0.000008
  5.500000  0.000001
  5.700000  0.000000
