#    title "G(r)"
#    xaxis  label "Distance (nm)"
#    yaxis  label "Probability"
  0.100000  0.000269
  0.300000  0.002084
  0.500000  0.005214
  0.700000  0.009627
  0.900000  0.014693
  1.100000  0.020391
  1.300000  0.026340
  1.500000  0.032357
  1.700000  0.038205
  1.900000  0.043739
  2.100000  0.048739
  2.300000  0.053140
  2.500000  0.056726
  2.700000  0.059480
  2.900000  0.061266
  3.100000  0.062056
  3.300000  0.061747
  3.500000  0.060381
  3.700000  0.057875
  3.900000  0.054288
  4.100000  0.049599
  4.300000  0.043819
  4.500000  0.036999
  4.700000  0.029427
  4.900000  0.022374
  5.100000  0.016560
  5.300000  0.011880
  5.500000  0.008184
  5.700000  0.005373
  5.900000  0.003326
  6.100000  0.001915
  6.300000  0.001023
  6.500000  0.000508
  6.700000  0.000238
  6.900000  0.000104
  7.100000  0.000039
  7.300000  0.000012
  7.500000  0.000003
  7.700000  0.000000
  7.900000  0.000000
  8.100000  0.000000
