#   Time, ps   E_tot           T, K       Box-X
    0.000000  6699795.500000    0.000073    2.000000
    0.100000  -673.765503   22.465269    5.436652
    0.200000  -467.678223   40.281166    5.436505
    0.300000  -278.187195   58.847500    5.436368
    0.400000  -161.799927   75.217125    5.436243
    0.500000  -80.257935   90.241791    5.436139
    0.600000    7.966187   90.832016    5.436103
    0.700000   54.489746   89.826668    5.436213
    0.800000  127.310059   97.846626    5.436417
    0.900000  181.593018  111.372871    5.436635
    1.000000  174.331421  118.539818    5.436792
    1.100000  181.356812  120.286819    5.436894
    1.200000  226.580200  118.450066    5.436979
    1.300000  220.685303  113.306519    5.437090
    1.400000  210.503296  119.237061    5.437192
    1.500000  161.445190  119.307159    5.437241
    1.600000  181.368652  121.417160    5.437263
    1.700000  141.588745  120.234436    5.437268
    1.800000  127.985718  120.957367    5.437266
    1.900000  157.065918  121.235840    5.437277
    2.000000  165.448242  122.956032    5.437323
    2.100000  143.635376  125.855301    5.437379
    2.200000  113.755737  124.580803    5.437445
    2.300000   70.819092  123.256416    5.437523
    2.400000   66.047119  124.992172    5.437616
    2.500000   46.017944  125.041916    5.437717
    2.600000   54.618530  131.158707    5.437804
    2.700000   33.172607  130.162125    5.437882
    2.800000   -8.073853  129.633316    5.437956
    2.900000  -39.058228  127.962143    5.438013
    3.000000  -54.802979  126.110138    5.438069
    3.100000  -76.237915  126.985962    5.438118
    3.200000  -77.024902  126.264725    5.438154
    3.300000  -86.769775  126.764122    5.438188
    3.400000  -102.026978  126.683510    5.438211
    3.500000  -73.937378  128.850113    5.438227
    3.600000  -106.238037  124.838058    5.438249
    3.700000  -106.735962  124.114082    5.438278
    3.800000  -137.883911  123.457329    5.438301
    3.900000  -172.613892  120.926323    5.438314
    4.000000  -163.656738  122.459015    5.438321
    4.100000  -191.547241  119.905167    5.438326
    4.200000  -178.359497  120.891579    5.438334
    4.300000  -178.284302  119.704330    5.438347
    4.400000  -195.428223  120.716568    5.438360
    4.500000  -220.686279  117.881340    5.438367
    4.600000  -188.174072  119.150810    5.438375
    4.700000  -159.941162  120.802628    5.438386
    4.800000  -154.788452  121.182571    5.438397
    4.900000  -145.972656  121.501724    5.438400
    5.000000  -99.225952  126.472397    5.438399
    5.100000  -101.123535  126.497986    5.438395
    5.200000  -140.375977  121.101807    5.438396
    5.300000  -147.934326  120.351105    5.438406
    5.400000  -177.159180  119.168594    5.438414
    5.500000  -148.750366  122.332436    5.438414
    5.600000  -134.622437  123.883423    5.438413
    5.700000  -119.502808  124.987091    5.438417
    5.800000  -172.430420  120.665115    5.438424
    5.900000  -145.438232  121.563667    5.438436
    6.000000  -153.503296  121.282852    5.438454
    6.100000  -138.863037  125.382500    5.438460
    6.200000  -143.359985  125.433380    5.438453
    6.300000  -167.107910  121.752113    5.438453
    6.400000  -155.928589  121.755867    5.438463
    6.500000  -207.168457  118.400650    5.438474
    6.600000  -215.729004  118.474075    5.438479
    6.700000  -197.131226  118.811760    5.438484
    6.800000  -200.635742  118.604195    5.438494
    6.900000  -189.288940  119.001999    5.438503
    7.000000  -166.423096  123.178337    5.438506
    7.100000  -189.529785  121.052299    5.438498
    7.200000  -193.459717  119.153854    5.438494
    7.300000  -185.854248  119.484467    5.438497
    7.400000  -169.710205  120.906326    5.438504
    7.500000  -156.765381  122.712784    5.438510
    7.600000  -196.255859  120.535881    5.438509
    7.700000  -217.913574  118.135178    5.438506
    7.800000  -225.235840  118.080070    5.438503
    7.900000  -240.223389  117.296127    5.438498
    8.000000  -197.750244  121.438087    5.438492
    8.100000  -190.213379  120.968117    5.438492
    8.200000  -167.788940  122.956894    5.438501
    8.300000  -207.491333  119.631462    5.438515
    8.400000  -205.694458  120.500511    5.438526
    8.500000  -188.758789  123.490303    5.438528
    8.600000  -244.492920  118.905228    5.438522
    8.700000  -208.215088  119.244827    5.438519
    8.800000  -215.058350  117.918884    5.438529
    8.900000  -215.263916  120.584709    5.438528
    9.000000  -250.325928  117.752464    5.438513
    9.100000  -263.904785  116.062958    5.438499
    9.200000  -257.549072  118.060432    5.438484
    9.300000  -303.267578  114.583969    5.438464
    9.400000  -315.493164  112.541420    5.438449
    9.500000  -285.647583  114.801590    5.438444
    9.600000  -264.215210  116.750618    5.438438
    9.700000  -249.284180  115.662079    5.438438
    9.800000  -267.904907  114.855034    5.438439
    9.900000  -255.483521  116.852081    5.438430
   10.000000  -284.514160  113.128334    5.438418
   10.100000  -282.445435  114.236664    5.438409
   10.200000  -251.781006  115.412827    5.438402
   10.300000  -265.191650  117.534584    5.438393
   10.400000  -270.920288  115.866432    5.438377
   10.500000  -282.657715  116.545288    5.438365
   10.600000  -302.973999  115.430298    5.438353
   10.700000  -246.265259  118.399574    5.438352
   10.800000  -242.538818  118.938744    5.438368
   10.900000  -238.989380  119.143417    5.438385
   11.000000  -251.422729  117.147568    5.438399
   11.100000  -245.139282  120.613815    5.438400
   11.200000  -270.254150  116.946976    5.438391
   11.300000  -303.997070  114.935860    5.438381
   11.400000  -271.686646  116.167313    5.438365
   11.500000  -260.277344  117.074333    5.438357
   11.600000  -229.213013  118.659401    5.438347
   11.700000  -246.310425  116.756744    5.438344
   11.800000  -201.478638  121.653244    5.438335
   11.900000  -222.848999  119.529480    5.438322
   12.000000  -218.943726  118.510040    5.438313
   12.100000  -243.092407  118.255707    5.438303
   12.200000  -231.973999  117.700348    5.438297
   12.300000  -208.491821  119.792519    5.438298
   12.400000  -219.695435  119.111435    5.438304
   12.500000  -259.901001  116.621216    5.438307
   12.600000  -255.463745  117.694946    5.438307
   12.700000  -266.535400  118.284317    5.438304
   12.800000  -253.692383  118.916374    5.438298
   12.900000  -247.513672  119.533104    5.438297
   13.000000  -253.721191  119.791634    5.438293
   13.100000  -259.325195  119.204620    5.438285
   13.200000  -251.525513  118.086746    5.438282
   13.300000  -265.365967  116.148819    5.438284
   13.400000  -258.260010  116.634544    5.438284
   13.500000  -278.612793  116.682915    5.438276
   13.600000  -262.498657  117.096642    5.438256
   13.700000  -224.735596  120.159569    5.438243
   13.800000  -244.300171  118.286217    5.438230
   13.900000  -223.862427  119.426704    5.438225
   14.000000  -210.327515  119.592178    5.438229
   14.100000  -171.634277  123.089775    5.438239
   14.200000  -187.396118  122.700485    5.438250
   14.300000  -169.835815  125.830879    5.438254
   14.400000  -169.357422  126.401978    5.438251
   14.500000  -175.971802  125.492645    5.438250
   14.600000  -192.382080  124.263054    5.438251
   14.700000  -203.927246  122.920715    5.438258
   14.800000  -183.110962  125.017723    5.438265
   14.900000  -217.307617  122.991013    5.438271
   15.000000  -179.223755  126.499260    5.438269
   15.100000  -196.343384  125.231697    5.438269
   15.200000  -143.219360  127.740852    5.438272
   15.300000  -196.896362  123.601349    5.438290
   15.400000  -182.426880  125.005119    5.438297
   15.500000  -232.816284  119.962502    5.438307
   15.600000  -251.886597  120.190262    5.438307
   15.700000  -196.176758  124.121208    5.438300
   15.800000  -202.293945  122.595207    5.438294
   15.900000  -211.265259  120.971458    5.438295
   16.000000  -228.126587  120.645676    5.438291
   16.100000  -224.935425  118.528351    5.438294
   16.200000  -224.024048  119.859581    5.438300
