# Dist, nm   G(r)
  0.100000  0.000000
  0.300000  0.002314
  0.500000  0.007750
  0.700000  0.012574
  0.900000  0.018937
  1.100000  0.026003
  1.300000  0.033168
  1.500000  0.040359
  1.700000  0.047094
  1.900000  0.053214
  2.100000  0.058451
  2.300000  0.062719
  2.500000  0.065812
  2.700000  0.067601
  2.900000  0.068019
  3.100000  0.066942
  3.300000  0.064475
  3.500000  0.060609
  3.700000  0.055282
  3.900000  0.048718
  4.100000  0.040551
  4.300000  0.031491
  4.500000  0.023184
  4.700000  0.016583
  4.900000  0.011351
  5.100000  0.007394
  5.300000  0.004517
  5.500000  0.002552
  5.700000  0.001308
  5.900000  0.000610
  6.100000  0.000264
  6.300000  0.000106
  6.500000  0.000037
  6.700000  0.000010
  6.900000  0.000002
  7.100000  0.000000
  7.300000  0.000000
